sep=;
ID;Instituto;Turno;DataPub;Amostra;Candidatura;Partido;Percentual;MgErro;Link
12;T Influyes;1;2021-09-07;1619;Nulo;NA;24.00;2.40;https://www.tuinfluyes.com/assets/estudios/ESTUDIO_TUINFLUYES_AGOSTO_2021.pdf
13;Activa;1;2021-09-14;1531;Artes;UPa;1.70;2.50;https://chile.activasite.com/wp-content/uploads/2021/09/Pulso_Ciudadano__SEPTIEMBRE_Q1_0915_V1_Informe.pdf
13;Activa;1;2021-09-14;1531;Boric;AD;19.90;2.50;https://chile.activasite.com/wp-content/uploads/2021/09/Pulso_Ciudadano__SEPTIEMBRE_Q1_0915_V1_Informe.pdf
13;Activa;1;2021-09-14;1531;MEO;PRO;0.00;2.50;https://chile.activasite.com/wp-content/uploads/2021/09/Pulso_Ciudadano__SEPTIEMBRE_Q1_0915_V1_Informe.pdf
13;Activa;1;2021-09-14;1531;Provoste;NPS;9.90;2.50;https://chile.activasite.com/wp-content/uploads/2021/09/Pulso_Ciudadano__SEPTIEMBRE_Q1_0915_V1_Informe.pdf
13;Activa;1;2021-09-14;1531;Parisi;PDG;7.00;2.50;https://chile.activasite.com/wp-content/uploads/2021/09/Pulso_Ciudadano__SEPTIEMBRE_Q1_0915_V1_Informe.pdf
13;Activa;1;2021-09-14;1531;Sichel;ChP;11.80;2.50;https://chile.activasite.com/wp-content/uploads/2021/09/Pulso_Ciudadano__SEPTIEMBRE_Q1_0915_V1_Informe.pdf
13;Activa;1;2021-09-14;1531;Kast;FSC;8.70;2.50;https://chile.activasite.com/wp-content/uploads/2021/09/Pulso_Ciudadano__SEPTIEMBRE_Q1_0915_V1_Informe.pdf
13;Activa;1;2021-09-14;1531;Nulo;NA;41.00;2.50;https://chile.activasite.com/wp-content/uploads/2021/09/Pulso_Ciudadano__SEPTIEMBRE_Q1_0915_V1_Informe.pdf
14;Activa;1;2021-10-02;1601;Artes;UPa;1.40;2.40;https://chile.activasite.com/wp-content/uploads/2021/10/Pulso_Ciudadano_SEPTIEMBRE_Q2_Informe.pdf
14;Activa;1;2021-10-02;1601;Boric;AD;19.80;2.40;https://chile.activasite.com/wp-content/uploads/2021/10/Pulso_Ciudadano_SEPTIEMBRE_Q2_Informe.pdf
14;Activa;1;2021-10-02;1601;MEO;PRO;2.70;2.40;https://chile.activasite.com/wp-content/uploads/2021/10/Pulso_Ciudadano_SEPTIEMBRE_Q2_Informe.pdf
14;Activa;1;2021-10-02;1601;Provoste;NPS;8.60;2.40;https://chile.activasite.com/wp-content/uploads/2021/10/Pulso_Ciudadano_SEPTIEMBRE_Q2_Informe.pdf
14;Activa;1;2021-10-02;1601;Parisi;PDG;5.70;2.40;https://chile.activasite.com/wp-content/uploads/2021/10/Pulso_Ciudadano_SEPTIEMBRE_Q2_Informe.pdf
14;Activa;1;2021-10-02;1601;Sichel;ChP;12.50;2.40;https://chile.activasite.com/wp-content/uploads/2021/10/Pulso_Ciudadano_SEPTIEMBRE_Q2_Informe.pdf
14;Activa;1;2021-10-02;1601;Kast;FSC;14.00;2.40;https://chile.activasite.com/wp-content/uploads/2021/10/Pulso_Ciudadano_SEPTIEMBRE_Q2_Informe.pdf
14;Activa;1;2021-10-02;1601;Nulo;NA;35.30;2.40;https://chile.activasite.com/wp-content/uploads/2021/10/Pulso_Ciudadano_SEPTIEMBRE_Q2_Informe.pdf
15;T Influyes;1;2021-10-05;1446;Artes;UPa;3.10;2.56;https://www.tuinfluyes.com/assets/estudios/ESTUDIO_TUINFLUYES_SEPTIEMBRE_2021.pdf
15;T Influyes;1;2021-10-05;1446;Boric;AD;25.70;2.56;https://www.tuinfluyes.com/assets/estudios/ESTUDIO_TUINFLUYES_SEPTIEMBRE_2021.pdf
15;T Influyes;1;2021-10-05;1446;MEO;PRO;3.70;2.56;https://www.tuinfluyes.com/assets/estudios/ESTUDIO_TUINFLUYES_SEPTIEMBRE_2021.pdf
15;T Influyes;1;2021-10-05;1446;Provoste;NPS;11.50;2.56;https://www.tuinfluyes.com/assets/estudios/ESTUDIO_TUINFLUYES_SEPTIEMBRE_2021.pdf
15;T Influyes;1;2021-10-05;1446;Parisi;PDG;4.90;2.56;https://www.tuinfluyes.com/assets/estudios/ESTUDIO_TUINFLUYES_SEPTIEMBRE_2021.pdf
15;T Influyes;1;2021-10-05;1446;Sichel;ChP;12.10;2.56;https://www.tuinfluyes.com/assets/estudios/ESTUDIO_TUINFLUYES_SEPTIEMBRE_2021.pdf
15;T Influyes;1;2021-10-05;1446;Kast;FSC;16.10;2.56;https://www.tuinfluyes.com/assets/estudios/ESTUDIO_TUINFLUYES_SEPTIEMBRE_2021.pdf
15;T Influyes;1;2021-10-05;1446;Nulo;NA;22.90;2.56;https://www.tuinfluyes.com/assets/estudios/ESTUDIO_TUINFLUYES_SEPTIEMBRE_2021.pdf
16;Activa;1;2021-10-16;1632;Artes;UPa;1.60;2.40;https://media.elmostrador.cl/2021/10/210626_Pulso_Ciudadano_OCTUBRE_Q1_1018_V2.pdf
16;Activa;1;2021-10-16;1632;Boric;AD;21.30;2.40;https://media.elmostrador.cl/2021/10/210626_Pulso_Ciudadano_OCTUBRE_Q1_1018_V2.pdf
16;Activa;1;2021-10-16;1632;MEO;PRO;3.40;2.40;https://media.elmostrador.cl/2021/10/210626_Pulso_Ciudadano_OCTUBRE_Q1_1018_V2.pdf
16;Activa;1;2021-10-16;1632;Provoste;NPS;13.10;2.40;https://media.elmostrador.cl/2021/10/210626_Pulso_Ciudadano_OCTUBRE_Q1_1018_V2.pdf
16;Activa;1;2021-10-16;1632;Parisi;PDG;5.00;2.40;https://media.elmostrador.cl/2021/10/210626_Pulso_Ciudadano_OCTUBRE_Q1_1018_V2.pdf
16;Activa;1;2021-10-16;1632;Sichel;ChP;7.50;2.40;https://media.elmostrador.cl/2021/10/210626_Pulso_Ciudadano_OCTUBRE_Q1_1018_V2.pdf
16;Activa;1;2021-10-16;1632;Kast;FSC;16.30;2.40;https://media.elmostrador.cl/2021/10/210626_Pulso_Ciudadano_OCTUBRE_Q1_1018_V2.pdf
16;Activa;1;2021-10-16;1632;Nulo;NA;31.80;2.40;https://media.elmostrador.cl/2021/10/210626_Pulso_Ciudadano_OCTUBRE_Q1_1018_V2.pdf
